# primary_source, primary_data_type, primary_descriptor, dependent_source, dependent_data_type, dependent_descriptor, relationship, dependency_type

# <---- CoDICE Dependencies ---->

codice, l0, raw, codice, l1a, all, HARD, DOWNSTREAM
glows, ancillary, uv-anisotropy-1CR, glows, l3b, ion-rate-profile, HARD, DOWNSTREAM
glows, ancillary, WawHelioIonMP, glows, l3b, ion-rate-profile, HARD, DOWNSTREAM
glows, ancillary, bad-days-list, glows, l3b, ion-rate-profile, HARD, DOWNSTREAM

# <---- HI Dependencies ---->

hi, l0, raw, hi, l1a, all, HARD, DOWNSTREAM
hi, l0, raw, hi, l1b, hk, HARD, DOWNSTREAM

hi, l1a, 45sensor-de, hi, l1b, 45sensor-de, HARD, DOWNSTREAM
hi, l1b, 45sensor-de, hi, l1c, 45sensor-pset, HARD, DOWNSTREAM

hi, l1a, 90sensor-de, hi, l1b, 90sensor-de, HARD, DOWNSTREAM
hi, l1b, 90sensor-de, hi, l1c, 90sensor-pset, HARD, DOWNSTREAM

# <---- HIT Dependencies ---->

hit, l0, raw, hit, l1a, all, HARD, DOWNSTREAM
hit, l0, raw, hit, l1b, hk, HARD, DOWNSTREAM

hit, l1a, counts, hit, l1b, all, HARD, DOWNSTREAM
hit, l1b, standard-rates, hit, l2, standard-intensity, HARD, DOWNSTREAM
hit, l1b, summed-rates, hit, l2, summed-intensity, HARD, DOWNSTREAM
hit, l1b, sectored-rates, hit, l2, macropixel-intensity, HARD, DOWNSTREAM
hit, l2, macropixel-intensity, hit, l3, macropixel, HARD, DOWNSTREAM
mag, l1d, norm-mago, hit, l3, macropixel, HARD, DOWNSTREAM
hit, l1a, direct-events, hit, l3, direct-events, HARD, DOWNSTREAM

# <---- IDEX Dependencies ---->

idex, l0, raw, idex, l1a, sci-1week, HARD, DOWNSTREAM
idex, l1a, sci-1week, idex, l1b, sci-1week, HARD, DOWNSTREAM
idex, l1b, sci-1week, idex, l2a, sci-1week, HARD, DOWNSTREAM

# <---- LO Dependencies ---->
lo, l0, raw, lo, l1a, all, HARD, DOWNSTREAM

lo, l1a, de, lo, l1b, de, HARD, DOWNSTREAM
lo, l1a, spin, lo, l1b, de, HARD, DOWNSTREAM
lo, l1a, TODO, lo, l1b, badtimes, HARD, DOWNSTREAM
lo, l1a, histogram, lo, l1b, monitorrates, HARD, DOWNSTREAM
lo, l1a, spin, lo, l1b, monitorrates, HARD, DOWNSTREAM
lo, l1a, histogram, lo, l1b, histogramrates, HARD, DOWNSTREAM
lo, l1a, spin, lo, l1b, histogramrates, HARD, DOWNSTREAM
lo, l1a, histogram, lo, l1b, derates, HARD, DOWNSTREAM
lo, l1a, spin, lo, l1b, derates, HARD, DOWNSTREAM
lo, l1a, star, lo, l1b, prostar, HARD, DOWNSTREAM
lo, l1a, hk, lo, l1b, hk, HARD, DOWNSTREAM

# TODO: add more dependencies for pset
# lo, l1b, TODO, lo, l1c, goodtimes, HARD, DOWNSTREAM
lo, l1b, de, lo, l1c, pset, HARD, DOWNSTREAM

# <---- MAG Dependencies ---->

mag, l0, raw, mag, l1a, all, HARD, DOWNSTREAM

mag, l1a, norm-mago, mag, l1b, norm-mago, HARD, DOWNSTREAM
mag, l1a, norm-magi, mag, l1b, norm-magi, HARD, DOWNSTREAM
mag, l1a, burst-mago, mag, l1b, burst-mago, HARD, DOWNSTREAM
mag, l1a, burst-magi, mag, l1b, burst-magi, HARD, DOWNSTREAM

mag, l1b, norm-mago, mag, l1c, norm-mago, HARD, DOWNSTREAM
mag, l1b, burst-mago, mag, l1c, norm-mago, HARD, DOWNSTREAM
mag, l1b, norm-magi, mag, l1c, norm-magi, HARD, DOWNSTREAM
mag, l1b, burst-magi, mag, l1c, norm-magi, HARD, DOWNSTREAM

# <---- Spacecraft Dependencies ---->

spacecraft, l0, raw, spacecraft, l1a, quaternions, HARD, DOWNSTREAM

# <---- SWAPI Dependencies ---->

swapi, l0, raw, swapi, l1, hk, HARD, DOWNSTREAM
swapi, l0, raw, swapi, l1, sci, HARD, DOWNSTREAM
swapi, l1, hk, swapi, l1, sci, HARD, DOWNSTREAM
swapi, l1, sci, swapi, l2, sci, HARD, DOWNSTREAM
swapi, ancillary, esa-unit-conversion, swapi, l2, sci, HARD, DOWNSTREAM
swapi, ancillary, lut-notes, swapi, l2, sci, HARD, DOWNSTREAM
# <---- TEST SWAPI L3 Dependencies ---->

swapi, l2, sci, swapi, l3a, alpha-sw, HARD, DOWNSTREAM
swapi, l2, sci, swapi, l3a, proton-sw, HARD, DOWNSTREAM
swapi, l2, sci, swapi, l3b, combined, HARD, DOWNSTREAM

# <---- SWE Dependencies ---->

swe, l0, raw, swe, l1a, sci, HARD, DOWNSTREAM
swe, l1a, sci, swe, l1b, sci, HARD, DOWNSTREAM
swe, ancillary, l1b-in-flight-cal, swe, l1b, sci, HARD, DOWNSTREAM
swe, l1b, sci, swe, l2, sci, HARD, DOWNSTREAM
swe, l2, sci, swe, l3, sci, HARD, DOWNSTREAM
swapi, l3a, proton-sw, swe, l3, sci, HARD, DOWNSTREAM
mag, l1d, norm-mago, swe, l3, sci, HARD, DOWNSTREAM

# <---- ULTRA Dependencies ---->

ultra, l0, raw, ultra, l1a, all, HARD, DOWNSTREAM

# Ultra-45 products
ultra, l1a, 45sensor-de, ultra, l1b, 45sensor-de, HARD, DOWNSTREAM
ultra, l1a, 45sensor-rates, ultra, l1b, 45sensor-extendedspin, HARD, DOWNSTREAM
ultra, l1a, 45sensor-hk,ultra, l1b, 45sensor-extendedspin, HARD, DOWNSTREAM
ultra, l1a, 45sensor-aux,ultra, l1b, 45sensor-extendedspin, HARD, DOWNSTREAM
ultra, l1b, 45sensor-de,ultra, l1b, 45sensor-extendedspin, HARD, DOWNSTREAM

ultra, l1b, 45sensor-de, ultra, l1c, 45sensor-pset, HARD, DOWNSTREAM
ultra, l1b, 45sensor-extendedspin, ultra, l1c, 45sensor-pset, HARD, DOWNSTREAM
ultra, l1b, 45sensor-cullingmask, ultra, l1c, 45sensor-pset, HARD, DOWNSTREAM
ultra, l1a, 45sensor-histogram, ultra, l1c, 45sensor-histogram, HARD, DOWNSTREAM
ultra, l1b, 45sensor-cullingmask, ultra, l1c, 45sensor-histogram, HARD, DOWNSTREAM
